## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:36 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01AT5JF	1	1	0	0	0
IS9DOBB01EGVFO	1	1	0	0	0
IS9DOBB01ED2GI	3190	3190	0	0	0
IS9DOBB01A9LR0	3	3	0	0	0
IS9DOBB01EAPN5	1298	1298	0	0	0
IS9DOBB01DUWSP	12786	12786	0	0	0
IS9DOBB01A7313	19	19	0	0	0
IS9DOBB01C8FW7	3	3	0	0	0
IS9DOBB01AFKAL	5	5	0	0	0
IS9DOBB01B1RTF	2	2	0	0	0
IS9DOBB01A9UP5	237	237	0	0	0
IS9DOBB01AHOX6	2113	2113	0	0	0
IS9DOBB01CKXFN	1	1	0	0	0
IS9DOBB01DEUN8	2531	2531	0	0	0
IS9DOBB01EFZS4	1	1	0	0	0
IS9DOBB01EDLSH	6	6	0	0	0
IS9DOBB01EKM1R	2	2	0	0	0
IS9DOBB01EJFB3	1	1	0	0	0
IS9DOBB01CC0D1	318	318	0	0	0
IS9DOBB01ASKB8	1	1	0	0	0
IS9DOBB01AHET9	1	1	0	0	0
IS9DOBB01COAEH	2	2	0	0	0
IS9DOBB01BFJ7Z	3	3	0	0	0
IS9DOBB01CU3J2	1	1	0	0	0
IS9DOBB01A6E6H	2	2	0	0	0
IS9DOBB01D9KMK	434	434	0	0	0
IS9DOBB01CHHN3	75	75	0	0	0
IS9DOBB01DMK55	2	2	0	0	0
IS9DOBB01DVCWE	635	635	0	0	0
IS9DOBB01D1N4B	50	50	0	0	0
IS9DOBB01DFKHH	2	2	0	0	0
IS9DOBB01CU4PT	65	65	0	0	0
IS9DOBB01AK3RB	1	1	0	0	0
IS9DOBB01APRQ6	17	17	0	0	0
IS9DOBB01D4EL8	1	1	0	0	0
IS9DOBB01DOXKW	1	1	0	0	0
IS9DOBB01ATGAZ	18	18	0	0	0
IS9DOBB01BEK9D	5	5	0	0	0
IS9DOBB01AP27T	1	1	0	0	0
IS9DOBB01B8AYS	1	1	0	0	0
IS9DOBB01EYYBV	2	2	0	0	0
IS9DOBB01CBW0J	1	1	0	0	0
IS9DOBB01A1EF1	4	4	0	0	0
IS9DOBB01D1B0R	1	1	0	0	0
IS9DOBB01CDZHL	3	3	0	0	0
IS9DOBB01A645E	3	3	0	0	0
IS9DOBB01B1YW9	3	3	0	0	0
IS9DOBB01D5NA9	1	1	0	0	0
IS9DOBB01AXQ83	2	2	0	0	0
IS9DOBB01BCK3L	8	8	0	0	0
IS9DOBB01D38PR	20	20	0	0	0
IS9DOBB01DURMZ	14	14	0	0	0
IS9DOBB01B6S81	2	2	0	0	0
IS9DOBB01EMU0Q	3	3	0	0	0
IS9DOBB01BBWHR	7	7	0	0	0
IS9DOBB01CLTFK	3	3	0	0	0
IS9DOBB01B9RSS	33	33	0	0	0
IS9DOBB01DSGS8	2	2	0	0	0
IS9DOBB01ARPKJ	7	7	0	0	0
