## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:17 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01AS0UE	12076	12076	0	0	0
IS9DOBB01BU923	2387	2387	0	0	0
IS9DOBB01CZKVH	1306	1306	0	0	0
IS9DOBB01D4ENS	1	1	0	0	0
IS9DOBB01AOZEY	1	1	0	0	0
IS9DOBB01DHNLD	16	16	0	0	0
IS9DOBB01DLF90	14	14	0	0	0
IS9DOBB01C90Y0	1841	1841	0	0	0
IS9DOBB01BBSKB	352	352	0	0	0
IS9DOBB01AHUT6	1	1	0	0	0
IS9DOBB01B26ZJ	1	1	0	0	0
IS9DOBB01AKT9E	32	32	0	0	0
IS9DOBB01DEE08	3	3	0	0	0
IS9DOBB01AOYZA	4	4	0	0	0
IS9DOBB01BP7D5	4	4	0	0	0
IS9DOBB01DTYAW	7	7	0	0	0
IS9DOBB01AKUQZ	6	6	0	0	0
IS9DOBB01A64HV	9	9	0	0	0
IS9DOBB01BHK9S	21	21	0	0	0
IS9DOBB01AOJIZ	4683	4683	0	0	0
IS9DOBB01AJI4B	52	52	0	0	0
IS9DOBB01EORXQ	3	3	0	0	0
IS9DOBB01B2G4A	157	157	0	0	0
IS9DOBB01D5JBF	1	1	0	0	0
IS9DOBB01CIPQU	402	402	0	0	0
IS9DOBB01AYPK2	17	17	0	0	0
IS9DOBB01AXK52	2	2	0	0	0
IS9DOBB01ESS2V	8	8	0	0	0
IS9DOBB01AJ486	1	1	0	0	0
IS9DOBB01CF2SX	31	31	0	0	0
IS9DOBB01DWFNL	11	11	0	0	0
IS9DOBB01AKKKH	4	4	0	0	0
IS9DOBB01D0MWD	1	1	0	0	0
IS9DOBB01DIWQW	9	9	0	0	0
IS9DOBB01EJ3KX	1	1	0	0	0
IS9DOBB01AJCD9	2	2	0	0	0
IS9DOBB01B7XR7	1	1	0	0	0
IS9DOBB01C3PCQ	2	2	0	0	0
IS9DOBB01AUEWU	49	49	0	0	0
IS9DOBB01B3VQP	920	920	0	0	0
IS9DOBB01AHN6L	186	186	0	0	0
IS9DOBB01C5KDF	31	31	0	0	0
IS9DOBB01AINSU	4	4	0	0	0
IS9DOBB01CVZ27	2	2	0	0	0
IS9DOBB01DE5CR	41	41	0	0	0
IS9DOBB01DTH61	239	239	0	0	0
IS9DOBB01AJYEC	106	106	0	0	0
IS9DOBB01EPKUU	9	9	0	0	0
IS9DOBB01A68N0	1	1	0	0	0
IS9DOBB01ELLEF	41	41	0	0	0
IS9DOBB01BNJKD	1	1	0	0	0
IS9DOBB01AKHKG	38	38	0	0	0
IS9DOBB01AOYU3	1064	1064	0	0	0
IS9DOBB01AMR0J	1	1	0	0	0
IS9DOBB01BY4XZ	1001	1001	0	0	0
IS9DOBB01DBFA0	1	1	0	0	0
IS9DOBB01BA8ZV	1	1	0	0	0
IS9DOBB01AYVJG	1	1	0	0	0
IS9DOBB01AHXRT	29	29	0	0	0
IS9DOBB01AGSPF	39	39	0	0	0
IS9DOBB01DB4W5	1	1	0	0	0
IS9DOBB01EQ1I6	3	3	0	0	0
IS9DOBB01EACX0	1	1	0	0	0
IS9DOBB01AWSZU	228	228	0	0	0
IS9DOBB01CMBAT	2	2	0	0	0
IS9DOBB01BTMUW	5	5	0	0	0
IS9DOBB01ALF0R	66	66	0	0	0
IS9DOBB01DBE37	75	75	0	0	0
IS9DOBB01A29JZ	37	37	0	0	0
IS9DOBB01A7QKI	1	1	0	0	0
IS9DOBB01D6I88	2	2	0	0	0
IS9DOBB01AZUG1	1	1	0	0	0
IS9DOBB01BSHRQ	74	74	0	0	0
IS9DOBB01APOAT	20	20	0	0	0
IS9DOBB01AMCBJ	1	1	0	0	0
IS9DOBB01DL2VN	7	7	0	0	0
IS9DOBB01EQIMV	1	1	0	0	0
IS9DOBB01A1E5U	8	8	0	0	0
IS9DOBB01CB4XH	20	20	0	0	0
IS9DOBB01AH4GE	4	4	0	0	0
IS9DOBB01DEX8K	2	2	0	0	0
IS9DOBB01ERG5Y	390	390	0	0	0
IS9DOBB01DOFSW	75	75	0	0	0
IS9DOBB01C9KT7	70	70	0	0	0
IS9DOBB01B2018	72	72	0	0	0
IS9DOBB01ATFYX	90	90	0	0	0
IS9DOBB01DQJP2	1	1	0	0	0
IS9DOBB01DBX0X	2	2	0	0	0
IS9DOBB01AGY5L	30	30	0	0	0
IS9DOBB01AVDF3	48	48	0	0	0
IS9DOBB01BYSB7	7	7	0	0	0
IS9DOBB01AIAMA	10	10	0	0	0
IS9DOBB01B6WMR	14	14	0	0	0
IS9DOBB01BM1JT	50	50	0	0	0
IS9DOBB01BW0ZO	7	7	0	0	0
IS9DOBB01ALJC2	15	15	0	0	0
IS9DOBB01C1CVQ	5	5	0	0	0
IS9DOBB01EMXGX	4	4	0	0	0
IS9DOBB01AUUAR	10	10	0	0	0
IS9DOBB01A11L9	11	11	0	0	0
IS9DOBB01CWZQT	1	1	0	0	0
IS9DOBB01AMXOL	26	26	0	0	0
IS9DOBB01EDGG8	7	7	0	0	0
IS9DOBB01AYY1W	11	11	0	0	0
IS9DOBB01CCIE0	2	2	0	0	0
IS9DOBB01D4LNE	1	1	0	0	0
IS9DOBB01DNDC2	1	1	0	0	0
IS9DOBB01AIDKX	1	1	0	0	0
IS9DOBB01DUD86	2	2	0	0	0
IS9DOBB01BXD8H	47	47	0	0	0
IS9DOBB01AXNIZ	3	3	0	0	0
IS9DOBB01ESEER	1	1	0	0	0
IS9DOBB01ES2ED	2	2	0	0	0
IS9DOBB01ALNCQ	24	24	0	0	0
IS9DOBB01BEWET	4	4	0	0	0
IS9DOBB01AP6U4	2	2	0	0	0
IS9DOBB01AZOXN	1	1	0	0	0
IS9DOBB01DA9RU	1	1	0	0	0
IS9DOBB01CUWUZ	1	1	0	0	0
IS9DOBB01AF23P	9	9	0	0	0
IS9DOBB01CGAIL	123	123	0	0	0
IS9DOBB01CF0JL	26	26	0	0	0
IS9DOBB01C64LG	1	1	0	0	0
IS9DOBB01CIKKR	1	1	0	0	0
IS9DOBB01AST6J	2	2	0	0	0
IS9DOBB01AGDKX	1	1	0	0	0
IS9DOBB01ERBRR	6	6	0	0	0
IS9DOBB01DU6CI	11	11	0	0	0
IS9DOBB01CD857	12	12	0	0	0
IS9DOBB01BMIN2	4	4	0	0	0
IS9DOBB01B3P64	9	9	0	0	0
IS9DOBB01CBLPS	2	2	0	0	0
IS9DOBB01BI52E	6	6	0	0	0
IS9DOBB01CRUID	3	3	0	0	0
IS9DOBB01D9N7V	1	1	0	0	0
IS9DOBB01BKLKK	1	1	0	0	0
IS9DOBB01ERRA3	2	2	0	0	0
IS9DOBB01AJ5ME	64	64	0	0	0
IS9DOBB01A7WY3	1	1	0	0	0
IS9DOBB01DHQ60	161	161	0	0	0
IS9DOBB01CLMBC	2	2	0	0	0
IS9DOBB01CKXHP	7	7	0	0	0
IS9DOBB01DG5NG	2	2	0	0	0
IS9DOBB01BSHU0	1	1	0	0	0
IS9DOBB01B2WRL	131	131	0	0	0
IS9DOBB01D4HIZ	51	51	0	0	0
IS9DOBB01EPK2U	1	1	0	0	0
IS9DOBB01DWLLG	1	1	0	0	0
IS9DOBB01C8ZL9	2	2	0	0	0
IS9DOBB01DBL4S	55	55	0	0	0
