## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:46 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01EGIAL	37	37	0	0	0
IS9DOBB01EENPK	2	2	0	0	0
IS9DOBB01A9HUC	5	5	0	0	0
IS9DOBB01ARR6T	693	693	0	0	0
IS9DOBB01A5JHY	5	5	0	0	0
IS9DOBB01CIAEL	1	1	0	0	0
IS9DOBB01DKQWK	1	1	0	0	0
IS9DOBB01AQ2VG	1	1	0	0	0
IS9DOBB01A0HAG	134	134	0	0	0
IS9DOBB01B7DWK	925	925	0	0	0
IS9DOBB01AF9TS	3	3	0	0	0
IS9DOBB01BDAGM	29	29	0	0	0
IS9DOBB01AJSAC	39	39	0	0	0
IS9DOBB01DM5UC	8	8	0	0	0
IS9DOBB01AHE9F	1	1	0	0	0
IS9DOBB01C65JH	902	902	0	0	0
IS9DOBB01CM0B5	3	3	0	0	0
IS9DOBB01AFQSM	1	1	0	0	0
IS9DOBB01B5W34	59	59	0	0	0
IS9DOBB01A0WMD	1	1	0	0	0
IS9DOBB01EEKXL	1	1	0	0	0
IS9DOBB01CY74L	144	144	0	0	0
IS9DOBB01AGF6E	1	1	0	0	0
IS9DOBB01AI2P8	1	1	0	0	0
IS9DOBB01AG8AN	5	5	0	0	0
IS9DOBB01C73GB	4	4	0	0	0
IS9DOBB01BD5AW	1143	1143	0	0	0
IS9DOBB01CCK81	1	1	0	0	0
IS9DOBB01BJ77F	112	112	0	0	0
IS9DOBB01BK60A	115	115	0	0	0
IS9DOBB01CGAW2	9	9	0	0	0
IS9DOBB01DYWHP	19	19	0	0	0
IS9DOBB01BEV1N	27	27	0	0	0
IS9DOBB01BFA3T	42	42	0	0	0
IS9DOBB01AP6OE	4	4	0	0	0
IS9DOBB01ANNRP	385	385	0	0	0
IS9DOBB01C3F2L	1	1	0	0	0
IS9DOBB01AMRSY	1	1	0	0	0
IS9DOBB01CU6M7	58	58	0	0	0
IS9DOBB01C5Z4I	1	1	0	0	0
IS9DOBB01BGSDS	481	481	0	0	0
IS9DOBB01ARIHV	205	205	0	0	0
IS9DOBB01DT456	1	1	0	0	0
IS9DOBB01CRBS0	2	2	0	0	0
IS9DOBB01ANTX0	1	1	0	0	0
IS9DOBB01A8GOF	9	9	0	0	0
IS9DOBB01CSNMY	2	2	0	0	0
IS9DOBB01B3I31	2	2	0	0	0
IS9DOBB01D3R38	46	46	0	0	0
IS9DOBB01BZUGB	25	25	0	0	0
IS9DOBB01C0P3P	93	93	0	0	0
IS9DOBB01AWBZ7	2	2	0	0	0
IS9DOBB01C3SQF	4	4	0	0	0
IS9DOBB01AEFUE	4	4	0	0	0
IS9DOBB01DYLXB	158	158	0	0	0
IS9DOBB01D8JHU	6	6	0	0	0
IS9DOBB01CG1JX	1	1	0	0	0
IS9DOBB01BNZRF	1	1	0	0	0
IS9DOBB01CF6MU	1	1	0	0	0
IS9DOBB01CERD3	1	1	0	0	0
IS9DOBB01AQ3KP	13	13	0	0	0
IS9DOBB01BA3B1	214	214	0	0	0
IS9DOBB01EPA0Q	30	30	0	0	0
IS9DOBB01EEOI1	1	1	0	0	0
IS9DOBB01BNZ89	7	7	0	0	0
IS9DOBB01A0RH7	7	7	0	0	0
IS9DOBB01AZCBY	312	312	0	0	0
IS9DOBB01BHOAQ	9	9	0	0	0
IS9DOBB01DLL89	336	336	0	0	0
IS9DOBB01A5TQC	7	7	0	0	0
IS9DOBB01CDZXM	4	4	0	0	0
IS9DOBB01AVCY6	2	2	0	0	0
IS9DOBB01DC4WK	291	291	0	0	0
IS9DOBB01BOPBI	2072	2072	0	0	0
IS9DOBB01EGRUD	1	1	0	0	0
IS9DOBB01DNP56	259	259	0	0	0
IS9DOBB01D5Y8P	1	1	0	0	0
IS9DOBB01AZ3J2	1	1	0	0	0
IS9DOBB01AHT5V	114	114	0	0	0
IS9DOBB01APTT0	5	5	0	0	0
IS9DOBB01AOO4E	1	1	0	0	0
IS9DOBB01A2TG7	1	1	0	0	0
IS9DOBB01BM7TV	27	27	0	0	0
IS9DOBB01EJR12	1	1	0	0	0
IS9DOBB01CX2BK	1	1	0	0	0
IS9DOBB01ATI9M	1	1	0	0	0
IS9DOBB01C7JY9	1	1	0	0	0
IS9DOBB01CLPU0	1	1	0	0	0
IS9DOBB01AGVVG	2	2	0	0	0
IS9DOBB01D84VS	2	2	0	0	0
IS9DOBB01D2QB5	38	38	0	0	0
IS9DOBB01AXKWC	2	2	0	0	0
IS9DOBB01C8YPG	190	190	0	0	0
IS9DOBB01BYW6F	3	3	0	0	0
IS9DOBB01CJH3Q	1	1	0	0	0
IS9DOBB01C5QNL	1	1	0	0	0
IS9DOBB01EB12F	1	1	0	0	0
IS9DOBB01AWE36	4	4	0	0	0
IS9DOBB01CWRY3	1	1	0	0	0
